21:33:30  |  Core  |  Info  |  FactoryManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_FactoryManager.cpp  |  42
21:33:30  |  Core  |  Info  |  * Initialise: ToolTipManager  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  48
21:33:30  |  Core  |  Info  |  ToolTipManager successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ToolTipManager.cpp  |  60
21:33:30  |  Core  |  Info  |  Gui successfully initialized  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_Gui.cpp  |  133
21:33:30  |  Core  |  Info  |  Load ini file 'core_font.xml'  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceManager.cpp  |  130
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'SpaceWidth' in font 'hud.fps' is deprecated; remove it to use automatic calculation.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  230
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'hud.fps' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using texture size 128 x 128.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.fps' using real height 20 pixels.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  675
21:33:30  |  Core  |  Warning  |  ResourceTrueTypeFont: Property 'Distance' in font 'hud.text' is deprecated; value ignored.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  237
21:33:30  |  Core  |  Info  |  ResourceTrueTypeFont: Font 'hud.text' using texture size 512 x 256.  |  /home/scrawl/Downloads/MyGUI_3.2.0/MyGUIEngine/src/MyGUI_ResourceTrueTypeFont.cpp  |  674
